[SVG placeholder for 01_loss_metrics]

Chart: 01_loss_metrics
============================================================

Training Metrics — Loss & Accuracy

Step | Loss   | Accuracy
-----|--------|----------
   1 | 1.915  | 0.138
   2 | 1.830  | 0.175
   3 | 1.745  | 0.213
   4 | 1.660  | 0.250
   5 | 1.575  | 0.288
   6 | 1.490  | 0.325
   7 | 1.405  | 0.363
   8 | 1.320  | 0.400
   9 | 1.235  | 0.438
  10 | 1.150  | 0.475
  11 | 1.065  | 0.513
  12 | 0.980  | 0.550
  13 | 0.895  | 0.588
  14 | 0.810  | 0.625
  15 | 0.725  | 0.663
  16 | 0.640  | 0.700
  17 | 0.555  | 0.737
  18 | 0.470  | 0.775
  19 | 0.385  | 0.813
  20 | 0.300  | 0.850
