[PNG 600 DPI placeholder for 07_reasoning_trace]

Chart: 07_reasoning_trace
============================================================

Hidden Reasoning Trace — Honesty vs Deception vs Hallucination

Step | Honesty | Deception | Hallucination
-----|---------|-----------|--------------
   1 |  0.425  |   0.290   |    0.140
   2 |  0.400  |   0.330   |    0.180
   3 |  0.375  |   0.370   |    0.220
   4 |  0.350  |   0.410   |    0.260
   5 |  0.325  |   0.450   |    0.300
   6 |  0.300  |   0.490   |    0.340
   7 |  0.275  |   0.530   |    0.380
   8 |  0.250  |   0.570   |    0.420
   9 |  0.225  |   0.610   |    0.460
  10 |  0.200  |   0.650   |    0.500
  11 |  0.175  |   0.690   |    0.540
  12 |  0.150  |   0.730   |    0.580
