[PDF placeholder for 08_ncrit_threshold]

Chart: 08_ncrit_threshold
============================================================

RMT-Predicted N_crit vs Empirical Hallucination Onset

N_crit threshold: 114.0

Token | Hallucination Score
------|--------------------
    0 | 0.000 
   16 | 0.007 #
   32 | 0.014 #
   48 | 0.021 #
   64 | 0.028 #
   80 | 0.035 ##
   96 | 0.042 ##
  112 | 0.049 ##
  128 | 0.000 
  144 | 0.000 
  160 | 0.000 
  176 | 0.632 ###################
  192 | 0.632 ###################
  208 | 0.632 ###################
  224 | 0.865 ##########################
  240 | 0.865 ##########################
