section,key,value
results,3d_research.loss_landscape.experiment_id,6
results,3d_research.loss_landscape.experiment_name,Hessian Loss Landscape (3D)
results,3d_research.loss_landscape.experiment_description,Perturb model along top-2 Hessian eigendirections, measure 3D loss surface.
results,3d_research.loss_landscape.name,Hessian Loss Landscape (3D)
results,3d_research.loss_landscape.description,Perturb model along top-2 Hessian eigendirections, measure 3D loss surface.
results,3d_research.loss_landscape.elapsed_seconds,0.084223131
results,3d_research.loss_landscape.parameters.temperature,0.7
results,3d_research.loss_landscape.parameters.max_tokens,256
results,3d_research.loss_landscape.parameters.top_k,50
results,3d_research.loss_landscape.parameters.top_p,0.95
results,3d_research.loss_landscape.parameters.context_window,1024
results,3d_research.loss_landscape.parameters.ncrit_threshold,114.0
results,3d_research.loss_landscape.parameters.theta_b_deg,7.07
results,3d_research.loss_landscape.parameters.beta_caputo,0.5
results,3d_research.loss_landscape.parameters.rlhf_pressure,0.0
results,3d_research.loss_landscape.parameters.n_layers,6
results,3d_research.loss_landscape.parameters.hidden_dim,64
results,3d_research.loss_landscape.parameters.n_heads,4
results,3d_research.loss_landscape.parameters.vocab_size,256
results,3d_research.loss_landscape.parameters.seed,42
results,3d_research.loss_landscape.parameters.epochs,3
results,3d_research.loss_landscape.parameters.learning_rate,0.001
results,3d_research.loss_landscape.parameters.batch_size,4
results,3d_research.loss_landscape.parameters.enable_filter,true
results,3d_research.loss_landscape.parameters.capture_hidden,true
results,3d_research.loss_landscape.parameters.language,en
results,3d_research.loss_landscape.parameters.hessian_grid_size,24
results,3d_research.loss_landscape.parameters.trajectory_points,64
results,3d_research.loss_landscape.parameters.spectral_surface_layers,6
results,3d_research.loss_landscape.parameters.pca_components,3
results,3d_research.loss_landscape.parameters.attention_flow_3d_resolution,32
results,3d_research.loss_landscape.parameters.parameter_space_grid,16
results,3d_research.loss_landscape.parameters.curvature_neighbors,8
results,3d_research.loss_landscape.parameters.elevation_3d,30
results,3d_research.loss_landscape.parameters.azimuth_3d,45
results,3d_research.loss_landscape.parameters.color_map_3d,viridis
results,3d_research.loss_landscape.data.experiment,hessian_loss_landscape
results,3d_research.loss_landscape.data.config.hidden_dim,64
results,3d_research.loss_landscape.data.config.n_layers,6
results,3d_research.loss_landscape.data.config.n_heads,4
results,3d_research.loss_landscape.data.config.vocab_size,256
results,3d_research.loss_landscape.data.config.max_seq_len,1024
results,3d_research.loss_landscape.data.config.seed,42
results,3d_research.loss_landscape.data.grid_size,24
results,3d_research.loss_landscape.data.top_eigenvalues,[0.032092171279324226,0.009637567974573573]
results,3d_research.loss_landscape.data.w1_grid,[[-0.5374286385315896,-0.5374286385315896,-0.5374286385315896,-0.5374286385315896,-0.5374286385315896,-0.5374286385315896,-0.5374286385315896,-0.5374286385315896,-0.5374286385315896,-0.5374286385315896,-0.5374286385315896,-0.5374286385315896,-0.5374286385315896,-0.5374286385315896,-0.5374286385315896,-0.5374286385315896,-0.5374286385315896,-0.5374286385315896,-0.5374286385315896,-0.5374286385315896,-0.5374286385315896,-0.5374286385315896,-0.5374286385315896,-0.5374286385315896],[-0.4906957134418
results,3d_research.loss_landscape.data.w2_grid,[[-0.5374286385315896,-0.49069571344188617,-0.4439627883521827,-0.3972298632624793,-0.35049693817277583,-0.3037640130830724,-0.25703108799336893,-0.2102981629036655,-0.16356523781396204,-0.11683231272425859,-0.07009938763455514,-0.02336646254485175,0.02336646254485175,0.07009938763455525,0.11683231272425865,0.16356523781396204,0.21029816290366554,0.25703108799336905,0.30376401308307244,0.35049693817277583,0.39722986326247933,0.44396278835218284,0.4906957134418861,0.5374286385315896],[-0.53742863
results,3d_research.loss_landscape.data.loss_surface,[[1.0174842986292787,1.0165076994786868,1.0155018312503794,1.0144674611699462,1.013405361164497,1.0123163073757602,1.0112010796705229,1.0100604611487216,1.0088952376494935,1.0077061972554997,1.006494129795834,1.0052598263478294,1.0040040787380766,1.002727679042973,1.0014314190891098,1.00011608995382,0.998782481466197,0.9974313817089019,0.996063576521072,0.9946798490026438,0.9932809790204046,0.9918677427160827,0.9904409120167875,0.9890012541481092],[1.015505199697831,1.0146264560752407,1.01372039
results,3d_research.loss_landscape.data.metrics.lambda_max,0.032092171279324226
results,3d_research.loss_landscape.data.metrics.lambda_2,0.009637567974573573
results,3d_research.loss_landscape.data.metrics.spectral_gap,0.022454603304750652
results,3d_research.loss_landscape.data.metrics.loss_min,0.9890012541481092
results,3d_research.loss_landscape.data.metrics.loss_max,1.0174842986292787
results,3d_research.loss_landscape.data.metrics.sharpness,0.032092171279324226
results,3d_research.loss_landscape.data.metrics.is_saddle,true
results,3d_research.loss_landscape.experiment,hessian_loss_landscape
results,3d_research.loss_landscape.config.hidden_dim,64
results,3d_research.loss_landscape.config.n_layers,6
results,3d_research.loss_landscape.config.n_heads,4
results,3d_research.loss_landscape.config.vocab_size,256
results,3d_research.loss_landscape.config.max_seq_len,1024
results,3d_research.loss_landscape.config.seed,42
results,3d_research.loss_landscape.grid_size,24
results,3d_research.loss_landscape.top_eigenvalues,[0.032092171279324226,0.009637567974573573]
results,3d_research.loss_landscape.w1_grid,[[-0.5374286385315896,-0.5374286385315896,-0.5374286385315896,-0.5374286385315896,-0.5374286385315896,-0.5374286385315896,-0.5374286385315896,-0.5374286385315896,-0.5374286385315896,-0.5374286385315896,-0.5374286385315896,-0.5374286385315896,-0.5374286385315896,-0.5374286385315896,-0.5374286385315896,-0.5374286385315896,-0.5374286385315896,-0.5374286385315896,-0.5374286385315896,-0.5374286385315896,-0.5374286385315896,-0.5374286385315896,-0.5374286385315896,-0.5374286385315896],[-0.4906957134418
results,3d_research.loss_landscape.w2_grid,[[-0.5374286385315896,-0.49069571344188617,-0.4439627883521827,-0.3972298632624793,-0.35049693817277583,-0.3037640130830724,-0.25703108799336893,-0.2102981629036655,-0.16356523781396204,-0.11683231272425859,-0.07009938763455514,-0.02336646254485175,0.02336646254485175,0.07009938763455525,0.11683231272425865,0.16356523781396204,0.21029816290366554,0.25703108799336905,0.30376401308307244,0.35049693817277583,0.39722986326247933,0.44396278835218284,0.4906957134418861,0.5374286385315896],[-0.53742863
results,3d_research.loss_landscape.loss_surface,[[1.0174842986292787,1.0165076994786868,1.0155018312503794,1.0144674611699462,1.013405361164497,1.0123163073757602,1.0112010796705229,1.0100604611487216,1.0088952376494935,1.0077061972554997,1.006494129795834,1.0052598263478294,1.0040040787380766,1.002727679042973,1.0014314190891098,1.00011608995382,0.998782481466197,0.9974313817089019,0.996063576521072,0.9946798490026438,0.9932809790204046,0.9918677427160827,0.9904409120167875,0.9890012541481092],[1.015505199697831,1.0146264560752407,1.01372039
results,3d_research.loss_landscape.metrics.lambda_max,0.032092171279324226
results,3d_research.loss_landscape.metrics.lambda_2,0.009637567974573573
results,3d_research.loss_landscape.metrics.spectral_gap,0.022454603304750652
results,3d_research.loss_landscape.metrics.loss_min,0.9890012541481092
results,3d_research.loss_landscape.metrics.loss_max,1.0174842986292787
results,3d_research.loss_landscape.metrics.sharpness,0.032092171279324226
results,3d_research.loss_landscape.metrics.is_saddle,true
results,3d_research.manifold_geometry.experiment_id,7
results,3d_research.manifold_geometry.experiment_name,Manifold Geometry (3D PCA)
results,3d_research.manifold_geometry.experiment_description,Estimate intrinsic dimensionality via PCA participation ratio; 3D projection.
results,3d_research.manifold_geometry.name,Manifold Geometry (3D PCA)
results,3d_research.manifold_geometry.description,Estimate intrinsic dimensionality via PCA participation ratio; 3D projection.
results,3d_research.manifold_geometry.elapsed_seconds,7.338388076
results,3d_research.manifold_geometry.parameters.temperature,0.7
results,3d_research.manifold_geometry.parameters.max_tokens,256
results,3d_research.manifold_geometry.parameters.top_k,50
results,3d_research.manifold_geometry.parameters.top_p,0.95
results,3d_research.manifold_geometry.parameters.context_window,1024
results,3d_research.manifold_geometry.parameters.ncrit_threshold,114.0
results,3d_research.manifold_geometry.parameters.theta_b_deg,7.07
results,3d_research.manifold_geometry.parameters.beta_caputo,0.5
results,3d_research.manifold_geometry.parameters.rlhf_pressure,0.0
results,3d_research.manifold_geometry.parameters.n_layers,6
results,3d_research.manifold_geometry.parameters.hidden_dim,64
results,3d_research.manifold_geometry.parameters.n_heads,4
results,3d_research.manifold_geometry.parameters.vocab_size,256
results,3d_research.manifold_geometry.parameters.seed,42
results,3d_research.manifold_geometry.parameters.epochs,3
results,3d_research.manifold_geometry.parameters.learning_rate,0.001
results,3d_research.manifold_geometry.parameters.batch_size,4
results,3d_research.manifold_geometry.parameters.enable_filter,true
results,3d_research.manifold_geometry.parameters.capture_hidden,true
results,3d_research.manifold_geometry.parameters.language,en
results,3d_research.manifold_geometry.parameters.hessian_grid_size,24
results,3d_research.manifold_geometry.parameters.trajectory_points,64
results,3d_research.manifold_geometry.parameters.spectral_surface_layers,6
results,3d_research.manifold_geometry.parameters.pca_components,3
results,3d_research.manifold_geometry.parameters.attention_flow_3d_resolution,32
results,3d_research.manifold_geometry.parameters.parameter_space_grid,16
results,3d_research.manifold_geometry.parameters.curvature_neighbors,8
results,3d_research.manifold_geometry.parameters.elevation_3d,30
results,3d_research.manifold_geometry.parameters.azimuth_3d,45
results,3d_research.manifold_geometry.parameters.color_map_3d,viridis
results,3d_research.manifold_geometry.data.experiment,manifold_geometry
results,3d_research.manifold_geometry.data.config.hidden_dim,64
results,3d_research.manifold_geometry.data.config.n_layers,6
results,3d_research.manifold_geometry.data.config.n_heads,4
results,3d_research.manifold_geometry.data.config.vocab_size,256
results,3d_research.manifold_geometry.data.config.max_seq_len,1024
results,3d_research.manifold_geometry.data.config.seed,42
results,3d_research.manifold_geometry.data.n_samples,19048
results,3d_research.manifold_geometry.data.n_components,3
results,3d_research.manifold_geometry.data.pca_eigenvalues,[0.029265106287038628,0.018822403941470937,0.012191955388842596,0.008792875708493677,0.007471884971363838,0.005594072231868359,0.004432651734973111,0.004056065703408728,0.002901772833446473,0.0023267396559974]
results,3d_research.manifold_geometry.data.participation_ratio,13.383436349407205
results,3d_research.manifold_geometry.data.pca_points,[[0.1823657871301133,0.35504651480990385,1.0328564365201647],[0.3320312448884545,0.3697810459076028,1.0385246779969417],[0.3676481487159529,0.3260072364940851,0.9653471922329336],[0.37528862423776627,0.2971639354530721,0.9295527237112756],[0.3657525667987472,0.2605468125634972,0.8282666982003091],[0.3514975513772223,0.18392017308922579,0.7594110192928096],[0.3481703943594359,0.20404407602795765,0.7327100891445523],[0.3567588886070345,0.14088653306507823,0.7159639721799471],[0.3095575344470865,0.
results,3d_research.manifold_geometry.data.pca_colors,[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,1
results,3d_research.manifold_geometry.data.metrics.intrinsic_dim_pr,13.383436349407205
results,3d_research.manifold_geometry.data.metrics.explained_variance_top3,0.4080566930816499
results,3d_research.manifold_geometry.data.metrics.top_eigenvalue,0.029265106287038628
results,3d_research.manifold_geometry.data.metrics.manifold_volume_proxy,0.0025914884646997356
results,3d_research.manifold_geometry.experiment,manifold_geometry
results,3d_research.manifold_geometry.config.hidden_dim,64
results,3d_research.manifold_geometry.config.n_layers,6
results,3d_research.manifold_geometry.config.n_heads,4
results,3d_research.manifold_geometry.config.vocab_size,256
